353263;VGA;23707;23677;4;\N;\N;\N;\N;\N;\N;\N;\N;\N;0;Izmailovo Vega;\N;en
361468;MIN_MINSK;3855;3854;4;\N;+375 17 2099062;3,75E+11;www.hotelminsk.by;\N;\N;hotelminsk@pmrb.gov.by;53.897000;27.550500;1;Hotel Minsk;11, Nezavisimosti Av.;en
361715;MIN_BELARUS;3855;3854;3;\N;+375 17 209 73 00;+375 17 209 76 59;hotel-belarus.com;\N;\N;info@hotel-belarus.com;53.915297;27.550664;1;Hotel Belarus;Storozhevskaya str.,15;en
361716;MIN_CROWNE;3855;3854;5;\N;+375 17 218-34-00;+375 17 2005283;http://www.cpminsk.com/ru/transportation.html;\N;\N;reservation@cpminsk.com;53.895000;27.554000;1;Hotel Crowne Plaza Minsk;13 Kirova Str.;en
361718;KP 15;22592;22489;3;\N;\N;\N;\N;\N;\N;\N;\N;\N;1;Kyriad Prestige Varsovie;ul. Towarowa 2, Sródmiescie;en
361719;322 RBC;22592;22489;4;\N;\N;\N;\N;\N;\N;\N;\N;\N;1;Radisson BLU Centre Hotel;ul. Grzybowska 24, Sródmiescie;en
361721;BBH;125477;19675;5;\N;37 167 771 400;37 167 771 420;www.balticbeach.lv;\N;\N;reservation_manager@balticbeach.lv;\N;\N;1;Baltic Beach;23/25 Juras street, Majori;en
361722;LPH;125477;19675;3;\N;+371 67 752 755;+371 67 752 694;http://www.lielupe.lv;\N;\N;reservation@lielupe.lv;56.985232;23.860641;1;Lielupe Hotel;64/68 Bulduru av.;en
361724;MIN_VICT;3855;3854;4;\N;+375 (17) 239 77 44;+ 375 (17) 204 88 55;http://www.hotel-victoria.by/;\N;\N;marketing@hotel-victoria.by;53.921400;27.527000;1;Victoria Hotel;59 Pobediteley ave.;en
361725;TBPH;125477;19675;5;\N;37167147094;37167147097;http://www.tbpalace.com/;\N;\N;tbpalace@tbpalace.com;56.974180;23.802866;1;TB Palace;Pilsonu iela 8;en
361726;LHT;125477;19675;5;\N;37 167 511 445;37 167 511 440;http://www.lighthousejurmala.lv;\N;\N;office@lhj.lv;56.979247;23.823550;1;Lighthouse Hotel;1a Gulbenes street;en
361727;EHJU;125477;19675;4;\N;(371) 67762211;(371) 67762299;http://www.eiropahotel.lv/;\N;\N;hotel@eiropahotel.lv;56.976785;23.809293;1;Eiropa;Juras street 56, Majori;en
361728;NTH1451;19635;19623;5;\N;+370 5 2122894;+370 5 2622882;http://www.narutis.com/;\N;\N;info@narutis.com;54.682250;25.289388;1;Narutis;Pilies Street 24;en
361729;LMVI;19635;19623;5;\N;1-800-543-4300;\N;http://www.lemeridienvilnius.com;\N;\N;info@lemeridienvilnius.com;54.827984;25.132260;1;Le MERIDIEN VILLON;Highway A2 19th kilometre, P.O. BOX 2590;en
361730;dfghdfg;19635;19623;5;\N;37052120110;37052121762;http://www.radissonblu.ru/hotel-vilnius;\N;\N;sales.vilnius@radissonsas.com;54.677452;25.287335;1;Radisson Sas Hotel;Didzioji 35/2, 2001;en
361731;GSH;167248;7754;4;\N;3 724 550 000;3 724 550 001;http://www.gospa.ee/flash/rus/;\N;\N;info@gospa.ee;58.246743;22.470939;1;Georg Ots Spa Hotel;Tori Str.2;en
